title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
Kids in the Hall: Brain Candy (1996),3.3333333333333335,33,Jurassic Park (1993),Broken Arrow (1996),It's a Wonderful Life (1946),Stand by Me (1986)
Killer (Bulletproof Heart) (1994),3.0,2,Star Trek: The Wrath of Khan (1982),Alien (1979),Beauty and the Beast (1991),Jurassic Park (1993)
Killer: A Journal of Murder (1995),4.0,1,-,-,-,-
"Killing Fields, The (1984)",4.186440677966102,59,Quiz Show (1994),Alien (1979),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Titanic (1997)
Killing Zoe (1994),3.6363636363636362,22,Sense and Sensibility (1995),Conspiracy Theory (1997),"Devil's Own, The (1997)",Sleepless in Seattle (1993)
Kim (1950),2.75,4,L.A. Confidential (1997),Jerry Maguire (1996),One Flew Over the Cuckoo's Nest (1975),"Fugitive, The (1993)"
King of the Hill (1993),3.6666666666666665,3,"People vs. Larry Flynt, The (1996)",Trainspotting (1996),Toy Story (1995),Fargo (1996)
Kingpin (1996),3.282608695652174,92,Face/Off (1997),Psycho (1960),"Saint, The (1997)","Full Monty, The (1997)"
"Kiss Me, Guido (1997)",3.2,20,"Sound of Music, The (1965)",Amadeus (1984),Trainspotting (1996),"Time to Kill, A (1996)"
Kiss of Death (1995),3.1,10,Brazil (1985),Mighty Aphrodite (1995),"Game, The (1997)",Men in Black (1997)
Kiss the Girls (1997),3.430379746835443,79,"Lion King, The (1994)","Blues Brothers, The (1980)",This Is Spinal Tap (1984),Volcano (1997)
Kissed (1996),2.5,2,-,-,-,-
Kolya (1996),4.0,64,Get Shorty (1995),Mars Attacks! (1996),Speed (1994),Star Trek III: The Search for Spock (1984)
Koyaanisqatsi (1983),3.4285714285714284,21,"Fifth Element, The (1997)",Willy Wonka and the Chocolate Factory (1971),Heat (1995),"Game, The (1997)"
Kull the Conqueror (1997),2.7567567567567566,37,Mighty Aphrodite (1995),Stand by Me (1986),"Time to Kill, A (1996)",Phenomenon (1996)
Kundun (1997),3.75,24,Top Gun (1986),"Lion King, The (1994)",Sleepless in Seattle (1993),Volcano (1997)
L.A. Confidential (1997),4.151724137931034,145,Casablanca (1942),E.T. the Extra-Terrestrial (1982),Die Hard (1988),Back to the Future (1985)
Lady of Burlesque (1943),4.0,1,-,-,-,-
Ladybird Ladybird (1994),4.0,1,-,-,-,-
Lamerica (1994),5.0,1,-,-,-,-
Land Before Time III: The Time of the Great Giving (1995) (V),2.0,1,-,-,-,-
Larger Than Life (1996),2.5,4,Chasing Amy (1997),Phenomenon (1996),L.A. Confidential (1997),Air Force One (1997)
Lashou shentan (1992),1.0,1,-,-,-,-
Lassie (1994),2.75,4,Star Trek: The Wrath of Khan (1982),"Shining, The (1980)",Brazil (1985),Dances with Wolves (1990)
Last Action Hero (1993),2.78125,32,Volcano (1997),Quiz Show (1994),Brazil (1985),"Hunt for Red October, The (1990)"
Last Dance (1996),2.5,6,Chasing Amy (1997),Mighty Aphrodite (1995),Mr. Holland's Opus (1995),In & Out (1997)
"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)",2.6666666666666665,3,"Full Monty, The (1997)",2001: A Space Odyssey (1968),Courage Under Fire (1996),Mighty Aphrodite (1995)
Last Man Standing (1996),2.6923076923076925,26,Beauty and the Beast (1991),"Usual Suspects, The (1995)","Game, The (1997)",Butch Cassidy and the Sundance Kid (1969)
Last Summer in the Hamptons (1995),3.0,1,-,-,-,-
"Last Supper, The (1995)",3.6216216216216215,37,L.A. Confidential (1997),In & Out (1997),Beauty and the Beast (1991),Courage Under Fire (1996)
"Last Time I Committed Suicide, The (1997)",2.6666666666666665,3,"People vs. Larry Flynt, The (1996)",Return of the Jedi (1983),"Time to Kill, A (1996)",Trainspotting (1996)
"Last Time I Saw Paris, The (1954)",3.6666666666666665,3,Twelve Monkeys (1995),Top Gun (1986),Four Weddings and a Funeral (1994),Seven (Se7en) (1995)
"Last of the Mohicans, The (1992)",3.5844155844155843,77,Dead Poets Society (1989),Mrs. Doubtfire (1993),"Truth About Cats & Dogs, The (1996)",Four Weddings and a Funeral (1994)
Late Bloomers (1996),3.5,4,"Full Monty, The (1997)",Lone Star (1996),In & Out (1997),"Truth About Cats & Dogs, The (1996)"
Laura (1944),4.25,16,Lone Star (1996),"Game, The (1997)","Time to Kill, A (1996)",In & Out (1997)
Lawnmower Man 2: Beyond Cyberspace (1996),1.4666666666666666,15,"Full Monty, The (1997)",Groundhog Day (1993),"Game, The (1997)","Fugitive, The (1993)"
"Lawnmower Man, The (1992)",2.388888888888889,36,"Devil's Own, The (1997)",GoodFellas (1990),Air Force One (1997),It's a Wonderful Life (1946)
Lawrence of Arabia (1962),4.261363636363637,88,Star Trek: The Wrath of Khan (1982),Quiz Show (1994),"Godfather, The (1972)",2001: A Space Odyssey (1968)
"Lay of the Land, The (1997)",2.3333333333333335,3,"Full Monty, The (1997)",Chasing Amy (1997),Evita (1996),Scream (1996)
"Leading Man, The (1996)",5.0,1,-,-,-,-
Leave It to Beaver (1997),1.6666666666666667,24,Rear Window (1954),Sleepless in Seattle (1993),Mars Attacks! (1996),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
Leaving Las Vegas (1995),3.694267515923567,157,Trainspotting (1996),"Blues Brothers, The (1980)",Chasing Amy (1997),Mighty Aphrodite (1995)
Legal Deceit (1997),2.0,2,-,-,-,-
Legends of the Fall (1994),3.3958333333333335,48,"Game, The (1997)",L.A. Confidential (1997),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Terminator 2: Judgment Day (1991)
"Leopard Son, The (1996)",1.0,1,-,-,-,-
"Letter From Death Row, A (1998)",5.0,2,-,-,-,-
Liar Liar (1997),3.100418410041841,239,Toy Story (1995),"Saint, The (1997)",Jurassic Park (1993),Indiana Jones and the Last Crusade (1989)
Liebelei (1933),1.0,1,-,-,-,-
"Life Less Ordinary, A (1997)",3.107142857142857,28,Star Trek III: The Search for Spock (1984),Murder at 1600 (1997),Top Gun (1986),Men in Black (1997)
Life with Mikey (1993),1.3333333333333333,3,Raising Arizona (1987),"Shining, The (1980)",Stand by Me (1986),Trainspotting (1996)
Lightning Jack (1994),3.142857142857143,7,"Devil's Own, The (1997)",Boogie Nights (1997),Jurassic Park (1993),Seven (Se7en) (1995)
Like Water For Chocolate (Como agua para chocolate) (1992),3.7037037037037037,81,L.A. Confidential (1997),Casablanca (1942),Lone Star (1996),True Lies (1994)
"Line King: Al Hirschfeld, The (1996)",2.0,1,-,-,-,-
"Lion King, The (1994)",3.765217391304348,115,Beauty and the Beast (1991),Phenomenon (1996),Murder at 1600 (1997),Aladdin (1992)
Little Big League (1994),2.4545454545454546,11,"Time to Kill, A (1996)",Apocalypse Now (1979),Star Trek: First Contact (1996),Butch Cassidy and the Sundance Kid (1969)
Little Buddha (1993),3.142857142857143,14,Murder at 1600 (1997),"Fifth Element, The (1997)",True Lies (1994),Lone Star (1996)
Little City (1998),2.0,1,-,-,-,-
Little Lord Fauntleroy (1936),3.142857142857143,7,"Sting, The (1973)",L.A. Confidential (1997),Murder at 1600 (1997),Sleepless in Seattle (1993)
Little Odessa (1994),2.625,8,"Truth About Cats & Dogs, The (1996)",Sense and Sensibility (1995),Star Trek: First Contact (1996),Dead Man Walking (1995)
"Little Princess, A (1995)",3.5555555555555554,18,"Devil's Own, The (1997)","Saint, The (1997)",Heat (1995),"Rock, The (1996)"
"Little Princess, The (1939)",3.8333333333333335,6,Star Trek: The Wrath of Khan (1982),Star Trek IV: The Voyage Home (1986),Speed (1994),"Sting, The (1973)"
"Little Rascals, The (1994)",2.5,10,Die Hard (1988),"Sting, The (1973)",Terminator 2: Judgment Day (1991),Sense and Sensibility (1995)
Little Women (1994),3.706896551724138,58,"Full Monty, The (1997)",Rear Window (1954),Beauty and the Beast (1991),Liar Liar (1997)
Live Nude Girls (1995),3.0,11,Star Trek IV: The Voyage Home (1986),Butch Cassidy and the Sundance Kid (1969),True Lies (1994),"Shining, The (1980)"
Living in Oblivion (1995),3.4166666666666665,12,Leaving Las Vegas (1995),Mr. Holland's Opus (1995),Boogie Nights (1997),Toy Story (1995)
Loaded (1994),2.5,4,Mighty Aphrodite (1995),"Empire Strikes Back, The (1980)",Mars Attacks! (1996),Star Wars (1977)
Local Hero (1983),4.026315789473684,38,Trainspotting (1996),Aladdin (1992),Star Trek: The Wrath of Khan (1982),Twister (1996)
Loch Ness (1995),1.0,2,-,-,-,-
"Locusts, The (1997)",1.6666666666666667,3,Air Force One (1997),Conspiracy Theory (1997),Evita (1996),Liar Liar (1997)
Lone Star (1996),4.073394495412844,109,Mrs. Doubtfire (1993),Fargo (1996),"Truth About Cats & Dogs, The (1996)",Groundhog Day (1993)
"Long Kiss Goodnight, The (1996)",3.568421052631579,95,Liar Liar (1997),Psycho (1960),Chasing Amy (1997),Titanic (1997)
Looking for Richard (1996),3.774193548387097,31,Sleepless in Seattle (1993),"Saint, The (1997)",Dances with Wolves (1990),True Lies (1994)
Lord of Illusions (1995),2.388888888888889,18,"Graduate, The (1967)",Four Weddings and a Funeral (1994),"Full Monty, The (1997)","Game, The (1997)"
Losing Chase (1996),3.0,2,-,-,-,-
Losing Isaiah (1995),3.125,8,Star Trek: The Wrath of Khan (1982),Eraser (1996),Heat (1995),Liar Liar (1997)
Lost Highway (1997),3.1690140845070425,71,Mighty Aphrodite (1995),To Kill a Mockingbird (1962),When Harry Met Sally... (1989),"Clockwork Orange, A (1971)"
Lost Horizon (1937),3.7,20,Broken Arrow (1996),Face/Off (1997),"Full Monty, The (1997)",Mars Attacks! (1996)
"Lost World: Jurassic Park, The (1997)",2.9080459770114944,87,Mrs. Doubtfire (1993),"English Patient, The (1996)",Babe (1995),Dante's Peak (1997)
Lost in Space (1998),3.0,8,Boogie Nights (1997),"Fish Called Wanda, A (1988)",Raising Arizona (1987),L.A. Confidential (1997)
Lotto Land (1995),1.0,1,-,-,-,-
Love & Human Remains (1993),3.1666666666666665,6,Alien (1979),Terminator 2: Judgment Day (1991),"Birdcage, The (1996)",Top Gun (1986)
Love Affair (1994),2.0,3,Murder at 1600 (1997),Mighty Aphrodite (1995),Pulp Fiction (1994),Terminator 2: Judgment Day (1991)
"Love Bug, The (1969)",2.740740740740741,27,Dead Man Walking (1995),Die Hard (1988),Speed (1994),Terminator 2: Judgment Day (1991)
Love Is All There Is (1996),3.0,1,-,-,-,-
Love Jones (1997),3.230769230769231,26,Butch Cassidy and the Sundance Kid (1969),Beauty and the Beast (1991),Star Trek: The Wrath of Khan (1982),True Lies (1994)
Love Serenade (1996),2.5,2,Fargo (1996),Lone Star (1996),Men in Black (1997),"Rock, The (1996)"
Love and Death on Long Island (1997),1.0,1,-,-,-,-
Love and Other Catastrophes (1996),2.3333333333333335,3,Liar Liar (1997),Lone Star (1996),Murder at 1600 (1997),Sense and Sensibility (1995)
Love and a .45 (1994),3.3333333333333335,3,Scream (1996),Apollo 13 (1995),Trainspotting (1996),Chasing Amy (1997)
Love in the Afternoon (1957),3.3333333333333335,3,GoodFellas (1990),Pulp Fiction (1994),"Fish Called Wanda, A (1988)",Titanic (1997)
Love! Valour! Compassion! (1997),3.6875,16,Broken Arrow (1996),"Hunt for Red October, The (1990)",Murder at 1600 (1997),Air Force One (1997)
Lover's Knot (1996),2.0,2,Liar Liar (1997),Lone Star (1996),Trainspotting (1996),"Birdcage, The (1996)"
"Low Down Dirty Shame, A (1994)",2.4285714285714284,7,Dances with Wolves (1990),Willy Wonka and the Chocolate Factory (1971),Twister (1996),Conspiracy Theory (1997)
M (1931),3.8846153846153846,26,Mars Attacks! (1996),Quiz Show (1994),M*A*S*H (1970),Chasing Amy (1997)
M*A*S*H (1970),3.94392523364486,107,Dante's Peak (1997),Quiz Show (1994),"People vs. Larry Flynt, The (1996)",Heat (1995)
M. Butterfly (1993),3.6363636363636362,11,Babe (1995),"Clockwork Orange, A (1971)",Murder at 1600 (1997),Four Weddings and a Funeral (1994)
Ma vie en rose (My Life in Pink) (1997),3.9,10,Die Hard (1988),Quiz Show (1994),Heat (1995),Mr. Holland's Opus (1995)
"Machine, The (1994)",1.5,2,Toy Story (1995),Twelve Monkeys (1995),Eraser (1996),"Time to Kill, A (1996)"
Mad City (1997),3.4285714285714284,21,Quiz Show (1994),Brazil (1985),Batman (1989),Dead Man Walking (1995)
Mad Dog Time (1996),3.0,1,-,-,-,-
Mad Love (1995),2.3,10,Evita (1996),Murder at 1600 (1997),To Kill a Mockingbird (1962),"People vs. Larry Flynt, The (1996)"
Madame Butterfly (1995),3.8333333333333335,6,Pulp Fiction (1994),Toy Story (1995),"Lion King, The (1994)",Monty Python and the Holy Grail (1974)
Made in America (1993),2.642857142857143,14,Air Force One (1997),True Lies (1994),M*A*S*H (1970),Evita (1996)
"Madness of King George, The (1994)",4.023809523809524,42,Alien (1979),Rear Window (1954),Star Trek: The Wrath of Khan (1982),Terminator 2: Judgment Day (1991)
Madonna: Truth or Dare (1991),2.4,15,Phenomenon (1996),Courage Under Fire (1996),"Full Monty, The (1997)",Rear Window (1954)
"Magic Hour, The (1998)",3.0,2,-,-,-,-
"Magnificent Seven, The (1954)",4.0,68,Dante's Peak (1997),Broken Arrow (1996),M*A*S*H (1970),Mars Attacks! (1996)
Major Payne (1994),2.5833333333333335,12,Casablanca (1942),Star Trek IV: The Voyage Home (1986),"Saint, The (1997)",Psycho (1960)
Malice (1993),3.391304347826087,23,Ransom (1996),Phenomenon (1996),Mission: Impossible (1996),Starship Troopers (1997)
Mallrats (1995),3.4,30,M*A*S*H (1970),"Shining, The (1980)",Rear Window (1954),"Game, The (1997)"
"Maltese Falcon, The (1941)",4.295774647887324,71,Dead Poets Society (1989),Casablanca (1942),Heat (1995),Apocalypse Now (1979)
"Man Who Knew Too Little, The (1997)",2.96875,32,Brazil (1985),GoodFellas (1990),Beauty and the Beast (1991),Top Gun (1986)
"Man Who Would Be King, The (1975)",4.066666666666666,45,Dances with Wolves (1990),Brazil (1985),Sense and Sensibility (1995),Quiz Show (1994)
"Man Without a Face, The (1993)",3.4146341463414633,41,Starship Troopers (1997),Volcano (1997),Dante's Peak (1997),"Time to Kill, A (1996)"
"Man from Down Under, The (1943)",1.0,1,-,-,-,-
"Man in the Iron Mask, The (1998)",3.6,5,Liar Liar (1997),Return of the Jedi (1983),Seven (Se7en) (1995),Star Trek III: The Search for Spock (1984)
"Man of No Importance, A (1994)",4.333333333333333,3,Contact (1997),Aladdin (1992),Face/Off (1997),Monty Python and the Holy Grail (1974)
Man of the House (1995),2.1666666666666665,6,Trainspotting (1996),It's a Wonderful Life (1946),"Rock, The (1996)",M*A*S*H (1970)
Man of the Year (1995),3.1666666666666665,6,Pulp Fiction (1994),Stand by Me (1986),Star Trek III: The Search for Spock (1984),"Saint, The (1997)"
"Manchurian Candidate, The (1962)",4.338709677419355,62,Psycho (1960),Mr. Holland's Opus (1995),In & Out (1997),To Kill a Mockingbird (1962)
Manhattan (1979),3.641509433962264,53,Broken Arrow (1996),Murder at 1600 (1997),Monty Python and the Holy Grail (1974),Star Trek III: The Search for Spock (1984)
Manhattan Murder Mystery (1993),3.466666666666667,15,Aliens (1986),Raiders of the Lost Ark (1981),Eraser (1996),True Lies (1994)
Manny & Lo (1996),3.5,8,Amadeus (1984),"Saint, The (1997)",Sense and Sensibility (1995),Dante's Peak (1997)
Manon of the Spring (Manon des sources) (1986),4.048780487804878,41,Mars Attacks! (1996),"Truth About Cats & Dogs, The (1996)",Phenomenon (1996),"Time to Kill, A (1996)"
Margaret's Museum (1995),3.75,4,"Rock, The (1996)",Aladdin (1992),Top Gun (1986),"Silence of the Lambs, The (1991)"
"Mark of Zorro, The (1940)",3.2857142857142856,7,"English Patient, The (1996)","Usual Suspects, The (1995)","Lion King, The (1994)",Contact (1997)
Marked for Death (1990),2.5,14,"People vs. Larry Flynt, The (1996)",Rear Window (1954),Face/Off (1997),Murder at 1600 (1997)
Mars Attacks! (1996),2.8660714285714284,112,In & Out (1997),"Fish Called Wanda, A (1988)",Chasing Amy (1997),"English Patient, The (1996)"
Marvin's Room (1996),3.5869565217391304,46,Seven (Se7en) (1995),Boogie Nights (1997),Dante's Peak (1997),Aliens (1986)
Mary Poppins (1964),3.8,85,"Sound of Music, The (1965)","Saint, The (1997)",Willy Wonka and the Chocolate Factory (1971),In & Out (1997)
Mary Reilly (1996),2.84,25,Rear Window (1954),Mighty Aphrodite (1995),Forrest Gump (1994),"Truth About Cats & Dogs, The (1996)"
Mary Shelley's Frankenstein (1994),3.1666666666666665,36,When Harry Met Sally... (1989),"Saint, The (1997)",Brazil (1985),"Fugitive, The (1993)"
"Mask, The (1994)",3.3088235294117645,68,L.A. Confidential (1997),Contact (1997),GoodFellas (1990),Aliens (1986)
"MatchMaker, The (1997)",3.1739130434782608,23,Top Gun (1986),"Shining, The (1980)",Jaws (1975),Lone Star (1996)
Matilda (1996),3.2708333333333335,48,Brazil (1985),Chasing Amy (1997),Stand by Me (1986),"Saint, The (1997)"
Maverick (1994),3.4507042253521125,71,Men in Black (1997),Dante's Peak (1997),Indiana Jones and the Last Crusade (1989),Groundhog Day (1993)
Maximum Risk (1996),2.230769230769231,13,Quiz Show (1994),L.A. Confidential (1997),Lone Star (1996),Mighty Aphrodite (1995)
Maya Lin: A Strong Clear Vision (1994),5.0,2,-,-,-,-
"Maybe, Maybe Not (Bewegte Mann, Der) (1994)",3.0,5,Courage Under Fire (1996),"Godfather, The (1972)",Lone Star (1996),"Saint, The (1997)"
McHale's Navy (1997),2.2777777777777777,36,Willy Wonka and the Chocolate Factory (1971),Psycho (1960),Sleepless in Seattle (1993),It's a Wonderful Life (1946)
Mediterraneo (1991),3.473684210526316,19,Starship Troopers (1997),"Fifth Element, The (1997)",One Flew Over the Cuckoo's Nest (1975),Star Trek: The Wrath of Khan (1982)
Meet John Doe (1941),3.75,12,Ransom (1996),Phenomenon (1996),Seven (Se7en) (1995),Mr. Holland's Opus (1995)
Meet Me in St. Louis (1944),3.35,20,Volcano (1997),Stand by Me (1986),L.A. Confidential (1997),Face/Off (1997)
Meet Wally Sparks (1997),2.2,5,Star Wars (1977),In & Out (1997),Dante's Peak (1997),E.T. the Extra-Terrestrial (1982)
Men in Black (1997),3.7337662337662336,154,"Hunt for Red October, The (1990)",Eraser (1996),Groundhog Day (1993),True Lies (1994)
Menace II Society (1993),3.3666666666666667,30,Dead Man Walking (1995),Aladdin (1992),Fargo (1996),"Lion King, The (1994)"
Mercury Rising (1998),3.5,4,Titanic (1997),Star Wars (1977),Return of the Jedi (1983),E.T. the Extra-Terrestrial (1982)
Metisse (Café au Lait) (1993),2.0,2,Air Force One (1997),L.A. Confidential (1997),Leaving Las Vegas (1995),Mighty Aphrodite (1995)
Metro (1997),3.0,21,It's a Wonderful Life (1946),Psycho (1960),Babe (1995),This Is Spinal Tap (1984)
Miami Rhapsody (1995),2.3,10,Dead Poets Society (1989),"Lion King, The (1994)",Mighty Aphrodite (1995),Rear Window (1954)
Michael (1996),3.370967741935484,62,Apollo 13 (1995),"Full Monty, The (1997)",Forrest Gump (1994),Phenomenon (1996)
Michael Collins (1996),3.4565217391304346,46,Boogie Nights (1997),Four Weddings and a Funeral (1994),Murder at 1600 (1997),Gandhi (1982)
Microcosmos: Le peuple de l'herbe (1996),4.0625,16,True Lies (1994),Mars Attacks! (1996),Psycho (1960),Independence Day (ID4) (1996)
Midnight Dancers (Sibak) (1994),2.5,4,Mighty Aphrodite (1995),"Full Monty, The (1997)",Liar Liar (1997),Toy Story (1995)
Midnight in the Garden of Good and Evil (1997),3.238095238095238,42,Psycho (1960),"Clockwork Orange, A (1971)","Devil's Own, The (1997)",Murder at 1600 (1997)
Mighty Aphrodite (1995),3.4150943396226414,106,"People vs. Larry Flynt, The (1996)",To Kill a Mockingbird (1962),Murder at 1600 (1997),Pulp Fiction (1994)
Mighty Morphin Power Rangers: The Movie (1995),2.4,5,When Harry Met Sally... (1989),Star Trek IV: The Voyage Home (1986),Quiz Show (1994),M*A*S*H (1970)
"Mighty, The (1998)",1.0,2,-,-,-,-
Milk Money (1994),2.88,25,Sleepless in Seattle (1993),Four Weddings and a Funeral (1994),Butch Cassidy and the Sundance Kid (1969),Terminator 2: Judgment Day (1991)
Mille bolle blu (1993),1.0,1,-,-,-,-
Miller's Crossing (1990),3.6595744680851063,47,"Fifth Element, The (1997)",Trainspotting (1996),"People vs. Larry Flynt, The (1996)",Apocalypse Now (1979)
Mimic (1997),2.618181818181818,55,Apollo 13 (1995),"Rock, The (1996)",Braveheart (1995),Mighty Aphrodite (1995)
Mina Tannenbaum (1994),4.0,3,Twelve Monkeys (1995),"Birdcage, The (1996)","English Patient, The (1996)",Apollo 13 (1995)
Miracle on 34th Street (1994),3.739130434782609,46,Jaws (1975),"Hunt for Red October, The (1990)",Babe (1995),"Fifth Element, The (1997)"
"Mirror Has Two Faces, The (1996)",3.21875,32,Apollo 13 (1995),"Game, The (1997)",Mission: Impossible (1996),Broken Arrow (1996)
Mission: Impossible (1996),3.2937853107344632,177,Starship Troopers (1997),Phenomenon (1996),Conspiracy Theory (1997),Air Force One (1997)
"Misérables, Les (1995)",3.8181818181818183,11,Conspiracy Theory (1997),In & Out (1997),"People vs. Larry Flynt, The (1996)",Courage Under Fire (1996)
Mixed Nuts (1994),2.7142857142857144,7,Gandhi (1982),Star Trek III: The Search for Spock (1984),"Sound of Music, The (1965)",Mission: Impossible (1996)
"Modern Affair, A (1995)",1.0,1,-,-,-,-
Moll Flanders (1996),3.4,25,Courage Under Fire (1996),Mission: Impossible (1996),"Time to Kill, A (1996)",Conspiracy Theory (1997)
Mondo (1996),1.0,1,-,-,-,-
Money Talks (1997),2.625,40,"Shining, The (1980)",Psycho (1960),It's a Wonderful Life (1946),Brazil (1985)
Money Train (1995),2.6153846153846154,26,Volcano (1997),Dante's Peak (1997),Murder at 1600 (1997),M*A*S*H (1970)
"Month by the Lake, A (1995)",3.4,5,Blade Runner (1982),Speed (1994),Rear Window (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
Monty Python and the Holy Grail (1974),4.080745341614906,161,Titanic (1997),Dead Man Walking (1995),Casablanca (1942),Heat (1995)
Monty Python's Life of Brian (1979),3.72,100,Dead Man Walking (1995),2001: A Space Odyssey (1968),Eraser (1996),Apocalypse Now (1979)
Moonlight and Valentino (1995),2.5714285714285716,7,Speed (1994),Alien (1979),Liar Liar (1997),Star Trek: The Wrath of Khan (1982)
Mortal Kombat (1995),2.925925925925926,27,Sense and Sensibility (1995),Rear Window (1954),Terminator 2: Judgment Day (1991),Mighty Aphrodite (1995)
Mortal Kombat: Annihilation (1997),2.0555555555555554,18,Amadeus (1984),"People vs. Larry Flynt, The (1996)",Brazil (1985),"Graduate, The (1967)"
Mother (1996),3.13265306122449,98,Seven (Se7en) (1995),Star Trek: First Contact (1996),Psycho (1960),One Flew Over the Cuckoo's Nest (1975)
Mother Night (1996),3.4166666666666665,12,"Full Monty, The (1997)",Sense and Sensibility (1995),Chasing Amy (1997),M*A*S*H (1970)
Mouse Hunt (1997),2.6956521739130435,23,Indiana Jones and the Last Crusade (1989),Rear Window (1954),Raiders of the Lost Ark (1981),When Harry Met Sally... (1989)
Mr. Holland's Opus (1995),3.792207792207792,154,Top Gun (1986),Murder at 1600 (1997),"Princess Bride, The (1987)",Aladdin (1992)
Mr. Jones (1993),2.5,2,Four Weddings and a Funeral (1994),Gandhi (1982),Groundhog Day (1993),"People vs. Larry Flynt, The (1996)"
Mr. Magoo (1997),2.0,5,"Saint, The (1997)",Star Trek: First Contact (1996),Air Force One (1997),"Full Monty, The (1997)"
Mr. Smith Goes to Washington (1939),4.087719298245614,57,Air Force One (1997),Beauty and the Beast (1991),Jerry Maguire (1996),It's a Wonderful Life (1946)
Mr. Wonderful (1993),3.0,3,-,-,-,-
Mr. Wrong (1996),1.7857142857142858,14,"People vs. Larry Flynt, The (1996)",Murder at 1600 (1997),Apocalypse Now (1979),Titanic (1997)
"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",3.9622641509433962,53,Jurassic Park (1993),Indiana Jones and the Last Crusade (1989),Braveheart (1995),Willy Wonka and the Chocolate Factory (1971)
Mrs. Dalloway (1997),3.75,8,Willy Wonka and the Chocolate Factory (1971),"Devil's Own, The (1997)",Volcano (1997),Dante's Peak (1997)
Mrs. Doubtfire (1993),3.4158415841584158,101,Lone Star (1996),Butch Cassidy and the Sundance Kid (1969),Conspiracy Theory (1997),Sleepless in Seattle (1993)
Mrs. Parker and the Vicious Circle (1994),3.0714285714285716,14,Men in Black (1997),Volcano (1997),Babe (1995),Air Force One (1997)
Mrs. Winterbourne (1996),2.727272727272727,11,"Fifth Element, The (1997)",Casablanca (1942),Quiz Show (1994),Eraser (1996)
Much Ado About Nothing (1993),4.053191489361702,94,In & Out (1997),Dante's Peak (1997),Titanic (1997),"Birdcage, The (1996)"
Mulholland Falls (1996),3.0697674418604652,43,Murder at 1600 (1997),Mighty Aphrodite (1995),"Devil's Own, The (1997)",Chasing Amy (1997)
Multiplicity (1996),2.8684210526315788,76,Murder at 1600 (1997),L.A. Confidential (1997),Starship Troopers (1997),Liar Liar (1997)
Muppet Treasure Island (1996),2.511111111111111,45,"Saint, The (1997)",Sense and Sensibility (1995),True Lies (1994),L.A. Confidential (1997)
Murder at 1600 (1997),3.1192660550458715,109,"Shining, The (1980)","Time to Kill, A (1996)",Gandhi (1982),Mr. Holland's Opus (1995)
Murder in the First (1995),3.6666666666666665,27,Dante's Peak (1997),Starship Troopers (1997),Murder at 1600 (1997),Mission: Impossible (1996)
"Murder, My Sweet (1944)",3.8333333333333335,6,"Empire Strikes Back, The (1980)",Unforgiven (1992),Stand by Me (1986),Forrest Gump (1994)
Muriel's Wedding (1994),3.7058823529411766,51,Face/Off (1997),Lone Star (1996),Get Shorty (1995),Evita (1996)
Mute Witness (1994),3.0,9,Courage Under Fire (1996),"Clockwork Orange, A (1971)",Twelve Monkeys (1995),Starship Troopers (1997)
My Best Friend's Wedding (1997),3.2736842105263158,95,Speed (1994),This Is Spinal Tap (1984),Braveheart (1995),Mrs. Doubtfire (1993)
My Crazy Life (Mi vida loca) (1993),3.0,6,True Lies (1994),Terminator 2: Judgment Day (1991),Quiz Show (1994),Beauty and the Beast (1991)
My Fair Lady (1964),3.767123287671233,73,Starship Troopers (1997),Ransom (1996),Toy Story (1995),Air Force One (1997)
My Family (1995),3.9166666666666665,12,"Clockwork Orange, A (1971)",Quiz Show (1994),Top Gun (1986),Mr. Holland's Opus (1995)
My Favorite Year (1982),3.45,40,Dante's Peak (1997),"Devil's Own, The (1997)",Scream (1996),Apocalypse Now (1979)
My Fellow Americans (1996),2.980769230769231,52,Boogie Nights (1997),Stand by Me (1986),Sleepless in Seattle (1993),Lone Star (1996)
My Left Foot (1989),3.864406779661017,59,Dante's Peak (1997),Butch Cassidy and the Sundance Kid (1969),M*A*S*H (1970),Ransom (1996)
My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),2.0,2,Chasing Amy (1997),Dead Man Walking (1995),Lone Star (1996),Air Force One (1997)
My Life as a Dog (Mitt liv som hund) (1985),3.9183673469387754,49,"Hunt for Red October, The (1990)",Boogie Nights (1997),To Kill a Mockingbird (1962),One Flew Over the Cuckoo's Nest (1975)
My Man Godfrey (1936),3.9411764705882355,17,Mars Attacks! (1996),Sense and Sensibility (1995),Scream (1996),Pulp Fiction (1994)
My Own Private Idaho (1991),3.588235294117647,17,Conspiracy Theory (1997),Chasing Amy (1997),Beauty and the Beast (1991),"Game, The (1997)"
